[2025-06-25 20:15:38] ERROR | FTP connection failed: 530 Login incorrect.
[2025-06-25 20:45:54] ERROR | FTP connection failed: 530 Login incorrect.
[2025-06-25 20:47:41] ERROR | create_file failed: [Errno 13] Permission denied: 'C:\\Marseille'
[2025-06-25 20:48:33] DELETE | C:\Paris | OK
[2025-06-25 20:49:16] ERROR | create_file failed: [Errno 2] No such file or directory: 'C:\\FTP\\ftp\\marseille'
[2025-06-25 20:49:37] CREATE_FOLDER | C:\FTP\f | OK
[2025-06-25 20:49:55] DELETE | C:\FTP\f | OK
[2025-06-25 21:03:36] CREATE_FOLDER | C:\FTP\Marseille | OK
[2025-06-25 21:03:51] ERROR | FTP connection failed: 530 Login or password incorrect!
[2025-06-25 21:11:42] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:25:10] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:31:52] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:32:56] DELETE | C:\FTP\Paris | OK
[2025-06-25 21:33:03] DELETE | C:\FTP\Marseille | OK
[2025-06-25 21:33:18] CREATE_FOLDER | C:\FTP\Paris | OK
[2025-06-25 21:33:20] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:33:53] CREATE_FILE | C:\FTP\Paris\Client1 | OK
[2025-06-25 21:34:18] ERROR | create_file failed: [Errno 2] No such file or directory: 'C:\\FTP\\Paris\\Client1\\audit1'
[2025-06-25 21:34:37] ERROR | create_file failed: [Errno 2] No such file or directory: 'C:\\FTP\\Paris\\Client1\\audit1'
[2025-06-25 21:34:47] CREATE_FILE | C:\FTP\Paris | ALREADY EXISTS
[2025-06-25 21:35:06] {
  "superadmin": {
    "password": "root",
    "role": "superadmin"
  },
  "admin1": {
    "password": "adminpass",
    "role": "admin",
    "region": "Paris"
  },
  "client1": {
    "password": "user123",
    "role": "user",
    "region": "Paris",
    "client": "Client1"
  }
}
FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:41:07] DELETE | C:\FTP\Paris\Client1 | OK
[2025-06-25 21:41:17] CREATE_FOLDER | C:\FTP\Paris\Client1 | OK
[2025-06-25 21:41:31] CREATE_FILE | C:\FTP\Paris\Client1\audit1 | OK
[2025-06-25 21:41:35] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:48:34] RENAME | C:\FTP\Paris\Client1\audit1 -> C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-25 21:48:42] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:48:42] FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-25 21:51:27] CREATE_FOLDER | C:\FTP\Marseille | OK
[2025-06-25 21:51:32] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:51:32] FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-25 22:32:45] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 22:32:45] FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-25 22:33:00] DELETE | C:\FTP\Marseille | OK
[2025-06-25 22:33:04] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 22:33:04] FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-26 09:52:19] CREATE_FOLDER | C:\FTP\Marseille | OK
[2025-06-26 09:53:05] CREATE_FOLDER | C:\FTP\Client2 | OK
[2025-06-26 09:53:25] DELETE | C:\FTP\Client2 | OK
[2025-06-26 09:53:45] CREATE_FOLDER | C:\FTP\Marseille\Client1 | OK
[2025-06-26 09:54:36] CREATE_FILE | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-26 09:54:46] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-26 09:54:46] FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-26 09:54:46] FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:40:26] superadmin (superadmin) | CREATE_FILE | C:\FTP\Marseille\Client1\audit.2 | OK
[2025-06-29 21:40:30] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:40:30] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.2 | OK
[2025-06-29 21:40:30] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:40:53] superadmin (superadmin) | CREATE_FILE | C:\FTP\Marseille\Client1\audit.3 | OK
[2025-06-29 21:40:56] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:40:56] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.2 | OK
[2025-06-29 21:40:56] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.3 | OK
[2025-06-29 21:40:56] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:53:05] superadmin (superadmin) | CREATE_FOLDER | C:\FTP\Paris\Client1 | OK
[2025-06-29 21:53:23] superadmin (superadmin) | CREATE_FILE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:53:39] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:53:39] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:54:17] superadmin (superadmin) | CREATE_FOLDER | C:\FTP\Marseille\Client1 | OK
[2025-06-29 21:54:25] superadmin (superadmin) | CREATE_FILE | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 21:54:32] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:54:32] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 21:54:32] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:54:56] superadmin (superadmin) | DELETE | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 21:54:58] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:54:58] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:55:27] superadmin (superadmin) | DELETE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:55:29] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:57:03] superadmin (superadmin) | CREATE_FILE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:57:08] superadmin (superadmin) | CREATE_FILE | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 21:57:55] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:57:55] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 21:57:55] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:58:42] superadmin (superadmin) | DELETE | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 21:58:48] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:58:48] SYSTEM | FTP_DELETE | Marseille/Client1/audit.1 | OK
[2025-06-29 21:58:48] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 22:00:15] superadmin (superadmin) | DELETE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 22:00:17] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 22:00:17] SYSTEM | FTP_DELETE | Paris/Client1/audit.1 | OK
[2025-06-29 22:01:28] superadmin (superadmin) | CREATE_FILE | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 22:01:29] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 22:01:29] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 22:02:36] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 22:02:36] SYSTEM | ARCHIVE_FILE | C:\FTP\Marseille\Client1\audit.1 -> C:\FTP\Marseille\Client1\archives\2025-06-29 | OK
[2025-06-29 22:02:36] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\archives\2025-06-29\audit.1 | OK
[2025-06-29 22:02:36] SYSTEM | DAILY_ARCHIVE_PUSH | Archivage + FTP 2025-06-29 terminé | OK
[2025-06-30 10:34:12] SYSTEM | PING_OK | 10.33.4.11 | OK
[2025-06-30 10:34:12] SYSTEM | PING_OK | 10.33.4.21 | OK
[2025-06-30 10:34:13] SYSTEM | PING_OK | 10.33.4.22 | OK
[2025-06-30 10:34:13] SYSTEM | PING_OK | 10.33.4.32 | OK
[2025-06-30 10:34:13] SYSTEM | PING_OK | 10.33.4.39 | OK
[2025-06-30 10:34:13] SYSTEM | PING_OK | 10.33.4.48 | OK
[2025-06-30 10:34:13] SYSTEM | PING_OK | 10.33.4.49 | OK
[2025-06-30 10:34:13] SYSTEM | PING_OK | 10.33.4.57 | OK
[2025-06-30 10:34:13] SYSTEM | PING_OK | 10.33.4.31 | OK
[2025-06-30 10:34:13] SYSTEM | PING_OK | 10.33.4.58 | OK
[2025-06-30 10:34:13] SYSTEM | PING_OK | 10.33.4.60 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.23 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.2 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.25 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.50 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.4 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.14 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.15 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.55 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.8 | OK

[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.33 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.12 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.24 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.35 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.10 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.9 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.1 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.44 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.40 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.54 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.19 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.18 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.36 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.6 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.37 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.26 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.45 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.41 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.7 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.34 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.46 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.47 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.27 | OK
[2025-06-30 10:34:15] SYSTEM | PING_OK | 10.33.4.28 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.74 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.86 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.65 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.94 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.91 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.93 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.72 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.98 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.59 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.62 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.97 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.92 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.61 | OK
[2025-06-30 10:34:16] SYSTEM | PING_OK | 10.33.4.118 | OK
[2025-06-30 10:34:17] SYSTEM | PING_OK | 10.33.4.117 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.120 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.108 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.102 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.101 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.99 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.90 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.88 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.82 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.84 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.89 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.96 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.80 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.67 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.81 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.64 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.83 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.78 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.79 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.71 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.66 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.69 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.75 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.77 | OK
[2025-06-30 10:34:18] SYSTEM | PING_OK | 10.33.4.63 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.134 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.133 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.147 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.139 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.127 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.153 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.155 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.148 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.111 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.109 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.112 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.121 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.122 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.113 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.119 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.115 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.114 | OK
[2025-06-30 10:34:19] SYSTEM | PING_OK | 10.33.4.116 | OK
[2025-06-30 10:34:20] SYSTEM | PING_OK | 10.33.4.160 | OK
[2025-06-30 10:34:20] SYSTEM | PING_OK | 10.33.4.176 | OK
[2025-06-30 10:34:20] SYSTEM | PING_OK | 10.33.4.175 | OK
[2025-06-30 10:34:20] SYSTEM | PING_OK | 10.33.4.178 | OK
[2025-06-30 10:34:20] SYSTEM | PING_OK | 10.33.4.182 | OK
[2025-06-30 10:34:20] SYSTEM | PING_OK | 10.33.4.169 | OK
[2025-06-30 10:34:20] SYSTEM | PING_OK | 10.33.4.124 | OK
[2025-06-30 10:34:20] SYSTEM | PING_OK | 10.33.4.186 | OK
[2025-06-30 10:34:20] SYSTEM | PING_OK | 10.33.4.166 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.190 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.157 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.156 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.159 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.132 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.136 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.144 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.154 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.145 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.152 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.149 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.151 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.142 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.138 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.146 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.128 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.140 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.126 | OK
[2025-06-30 10:34:21] SYSTEM | PING_OK | 10.33.4.130 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.129 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.143 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.135 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.141 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.194 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.202 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.205 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.208 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.212 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.199 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.200 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.162 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.184 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.185 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.181 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.183 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.174 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.172 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.177 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.167 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.179 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.164 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.165 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.170 | OK
[2025-06-30 10:34:22] SYSTEM | PING_OK | 10.33.4.163 | OK
[2025-06-30 10:34:23] SYSTEM | PING_OK | 10.33.4.226 | OK
[2025-06-30 10:34:23] SYSTEM | PING_OK | 10.33.4.233 | OK
[2025-06-30 10:34:23] SYSTEM | PING_OK | 10.33.4.230 | OK
[2025-06-30 10:34:23] SYSTEM | PING_OK | 10.33.4.229 | OK
[2025-06-30 10:34:23] SYSTEM | PING_OK | 10.33.4.187 | OK
[2025-06-30 10:34:23] SYSTEM | PING_OK | 10.33.4.189 | OK
[2025-06-30 10:34:23] SYSTEM | PING_OK | 10.33.4.245 | OK
[2025-06-30 10:34:23] SYSTEM | PING_OK | 10.33.4.231 | OK
[2025-06-30 10:34:23] SYSTEM | PING_OK | 10.33.4.252 | OK
[2025-06-30 10:34:23] SYSTEM | PING_OK | 10.33.4.250 | OK
[2025-06-30 10:34:23] SYSTEM | PING_OK | 10.33.4.254 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.253 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.219 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.222 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.218 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.220 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.214 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.217 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.207 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.209 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.197 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.211 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.216 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.201 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.204 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.206 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.196 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.195 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.203 | OK
[2025-06-30 10:34:24] SYSTEM | PING_OK | 10.33.4.198 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.224 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.244 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.240 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.241 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.239 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.227 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.238 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.234 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.232 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.237 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.236 | OK
[2025-06-30 10:34:25] SYSTEM | PING_OK | 10.33.4.225 | OK
[2025-06-30 10:34:26] SYSTEM | PING_OK | 10.33.4.249 | OK
[2025-06-30 10:34:26] SYSTEM | PING_OK | 10.33.4.248 | OK
[2025-06-30 10:34:26] SYSTEM | PING_OK | 10.33.4.251 | OK
[2025-06-30 10:35:43] SYSTEM | OPEN_PORTS | 10.33.4.22: [22] | OK
[2025-06-30 10:37:51] SYSTEM | OPEN_PORTS | 10.33.4.60: [22] | OK
[2025-06-30 10:39:43] SYSTEM | OPEN_PORTS | 10.33.4.94: [22] | OK
[2025-06-30 10:42:44] SYSTEM | OPEN_PORTS | 10.33.4.147: [21] | OK
[2025-06-30 10:43:03] SYSTEM | OPEN_PORTS | 10.33.4.153: [22] | OK
[2025-06-30 10:43:09] SYSTEM | OPEN_PORTS | 10.33.4.155: [21, 80] | OK
[2025-06-30 10:47:18] SYSTEM | OPEN_PORTS | 10.33.4.229: [21] | OK
[2025-06-30 10:59:45] superadmin (superadmin) | DELETE | C:\FTP\Paris\Client1 | OK
[2025-06-30 11:00:08] superadmin (superadmin) | CREATE_FOLDER | C:\FTP\Grenoble\Client1\audit.1 | OK
[2025-06-30 11:00:11] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-30 11:00:11] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-30 11:01:38] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-30 11:01:38] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-30 11:04:56] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-30 11:05:21] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-30 11:05:33] superadmin (superadmin) | CREATE_FOLDER | C:\FTP\Paris\Client1 | OK
[2025-06-30 11:05:38] superadmin (superadmin) | CREATE_FILE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-30 11:05:39] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-30 11:05:39] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-30 11:06:03] superadmin (superadmin) | RENAME | C:\FTP\Paris\Client1\audit.1 -> C:\FTP\Paris\Client1\audit.2 | OK
[2025-06-30 11:06:07] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-30 11:06:07] SYSTEM | FTP_DELETE | Paris/Client1/audit.1 | OK
[2025-06-30 11:06:07] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.2 | OK
[2025-06-30 11:06:48] admin1 (admin) | DELETE | C:\FTP\Paris\Client1\audit.2 | OK
[2025-06-30 11:06:51] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-30 11:07:25] admin1 (admin) | CREATE_FILE | C:\FTP\Paris\Client1\audit.2 | OK
[2025-06-30 11:07:27] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-30 11:07:27] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.2 | OK
[2025-06-30 11:15:36] admin1 (admin) | DELETE | C:\FTP\audit.2 | OK
[2025-06-30 11:16:36] admin1 (admin) | DELETE | C:\FTP\Paris\Client1\audit.2 | OK
[2025-06-30 11:16:41] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-30 11:16:41] SYSTEM | FTP_DELETE | Paris/Client1/audit.2 | OK
